WorkerId,Input.id,Input.original,Input.simplified,Input.system,Answer.adequacy,Answer.fluency,Answer.simplicity,ref1
3,45,"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.","Film critics praised Coogler’s direction, action scenes, production and costume design, the cast’s performances, emotional weight, musical score, and tributes to Boseman. Some critics disliked the length of the movie.",Human 2 Writing,100,100,97,"The film received overall positive reviews with most of its qualities receiving praise. However, its runtime received criticism."
4,45,"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.","Film critics praised Coogler’s direction, action scenes, production and costume design, the cast’s performances, emotional weight, musical score, and tributes to Boseman. Some critics disliked the length of the movie.",Human 2 Writing,100,100,100,"The film received overall positive reviews with most of its qualities receiving praise. However, its runtime received criticism."
5,45,"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.","Film critics praised Coogler’s direction, action scenes, production and costume design, the cast’s performances, emotional weight, musical score, and tributes to Boseman. Some critics disliked the length of the movie.",Human 2 Writing,100,75,75,"The film received overall positive reviews with most of its qualities receiving praise. However, its runtime received criticism."
4,39,"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",The activists targeted the Russian delegation at a conference. They said Russians did not deserve respect nor should be at the conference.,Human 2 Writing,100,100,80,The activists said that the Russians were war criminals and shouldn’t be at the conference.
7,39,"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",The activists targeted the Russian delegation at a conference. They said Russians did not deserve respect nor should be at the conference.,Human 2 Writing,70,75,73,The activists said that the Russians were war criminals and shouldn’t be at the conference.
6,39,"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",The activists targeted the Russian delegation at a conference. They said Russians did not deserve respect nor should be at the conference.,Human 2 Writing,100,90,57,The activists said that the Russians were war criminals and shouldn’t be at the conference.
4,21,"In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since as a Cinematographer in the film industry, also having a lot of experience with photography and experience in the field of graphic design.","In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since. He has a lot of experience in the film industry, and he also has a lot of graphic design and photography experience.",Muss,60,40,40,"A hard situation encouraged him to study Graphic Design in 2007. Since then, he’s been a Cinematographer in the film industry. He also has a lot of experience with photography and graphic design."
3,21,"In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since as a Cinematographer in the film industry, also having a lot of experience with photography and experience in the field of graphic design.","In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since. He has a lot of experience in the film industry, and he also has a lot of graphic design and photography experience.",Muss,75,72,71,"A hard situation encouraged him to study Graphic Design in 2007. Since then, he’s been a Cinematographer in the film industry. He also has a lot of experience with photography and graphic design."
8,21,"In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since as a Cinematographer in the film industry, also having a lot of experience with photography and experience in the field of graphic design.","In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since. He has a lot of experience in the film industry, and he also has a lot of graphic design and photography experience.",Muss,40,5,73,"A hard situation encouraged him to study Graphic Design in 2007. Since then, he’s been a Cinematographer in the film industry. He also has a lot of experience with photography and graphic design."
4,1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. ","Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.",Human 1 Writing,75,100,100,"Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes."
8,1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. ","Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.",Human 1 Writing,50,40,96,"Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes."
1,1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. ","Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.",Human 1 Writing,67,100,94,"Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes."
8,35,"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.","According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research.",Human 1 Writing,93,100,100,"According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research."
9,35,"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.","According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research.",Human 1 Writing,82,100,90,"According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research."
1,35,"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.","According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research.",Human 1 Writing,75,100,92,"According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research."
5,47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",You will receive a fine of $400 for the fraud or $100 for each count. You will also be under supervised release for three years after the prison term.,GPT-3-zero-shot,100,100,75,The sentence included a three-year supervised release and a fine of $400.
2,47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",You will receive a fine of $400 for the fraud or $100 for each count. You will also be under supervised release for three years after the prison term.,GPT-3-zero-shot,70,100,84,The sentence included a three-year supervised release and a fine of $400.
4,47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",You will receive a fine of $400 for the fraud or $100 for each count. You will also be under supervised release for three years after the prison term.,GPT-3-zero-shot,25,100,40,The sentence included a three-year supervised release and a fine of $400.
9,11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.","Theodore Roosevelt was the last former president to stand for election after leaving office. He was the presidential nominee for the Progressive Party in 1912 and came in second. After leaving office in 1933, Herbert Hoover tried to get the Republican nomination at several conventions.",GPT-3-zero-shot,85,100,80,The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.
5,11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.","Theodore Roosevelt was the last former president to stand for election after leaving office. He was the presidential nominee for the Progressive Party in 1912 and came in second. After leaving office in 1933, Herbert Hoover tried to get the Republican nomination at several conventions.",GPT-3-zero-shot,100,75,65,The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.
7,11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.","Theodore Roosevelt was the last former president to stand for election after leaving office. He was the presidential nominee for the Progressive Party in 1912 and came in second. After leaving office in 1933, Herbert Hoover tried to get the Republican nomination at several conventions.",GPT-3-zero-shot,73,70,61,The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.
5,43,The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.,The Supreme Court of the United Kingdom ruled that the Scottish government cannot hold another referendum on Scottish independence without permission from the British government.,GPT-3-few-shot,100,100,60,"The UK’s Supreme Court will not simply let the Scottish government hold a second election to decide if Scotland will become separate from the UK. To hold such an election, the Scottish government will need the support of the British Government."
3,43,The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.,The Supreme Court of the United Kingdom ruled that the Scottish government cannot hold another referendum on Scottish independence without permission from the British government.,GPT-3-few-shot,100,100,91,"The UK’s Supreme Court will not simply let the Scottish government hold a second election to decide if Scotland will become separate from the UK. To hold such an election, the Scottish government will need the support of the British Government."
7,43,The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.,The Supreme Court of the United Kingdom ruled that the Scottish government cannot hold another referendum on Scottish independence without permission from the British government.,GPT-3-few-shot,92,88,89,"The UK’s Supreme Court will not simply let the Scottish government hold a second election to decide if Scotland will become separate from the UK. To hold such an election, the Scottish government will need the support of the British Government."
1,9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","Musk announced the creation of a “content moderation council” with diverse viewpoints in order to determine how the platform would deal with free speech. He announced a delay of “major content decisions or account reinstatements"" until then.",Human 1 Writing,100,100,78,"Musk announced the creation of a “content moderation council” with diverse viewpoints in order to determine how the platform would deal with free speech. He announced a delay of “major content decisions or account reinstatements"" until then."
7,9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","Musk announced the creation of a “content moderation council” with diverse viewpoints in order to determine how the platform would deal with free speech. He announced a delay of “major content decisions or account reinstatements"" until then.",Human 1 Writing,92,89,68,"Musk announced the creation of a “content moderation council” with diverse viewpoints in order to determine how the platform would deal with free speech. He announced a delay of “major content decisions or account reinstatements"" until then."
6,9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","Musk announced the creation of a “content moderation council” with diverse viewpoints in order to determine how the platform would deal with free speech. He announced a delay of “major content decisions or account reinstatements"" until then.",Human 1 Writing,100,100,77,"Musk announced the creation of a “content moderation council” with diverse viewpoints in order to determine how the platform would deal with free speech. He announced a delay of “major content decisions or account reinstatements"" until then."
8,36,"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.","In their first match of the tournament, they beat a highly favored Argentine team 2-1, ending their unbeaten streak that had lasted 36 games since 2019.",GPT-3-zero-shot,100,90,75,"They defeated Argentina 2-1, ending Argentina’s winning streak of 36 games."
4,36,"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.","In their first match of the tournament, they beat a highly favored Argentine team 2-1, ending their unbeaten streak that had lasted 36 games since 2019.",GPT-3-zero-shot,100,100,90,"They defeated Argentina 2-1, ending Argentina’s winning streak of 36 games."
2,36,"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.","In their first match of the tournament, they beat a highly favored Argentine team 2-1, ending their unbeaten streak that had lasted 36 games since 2019.",GPT-3-zero-shot,60,60,60,"They defeated Argentina 2-1, ending Argentina’s winning streak of 36 games."
3,44,"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.","After another wave of missile strikes, blackouts have been reported in Western Ukraine including the city of Lviv which experienced a total blackout.",Human 2 Writing,100,82,81,"As Russian forces launch another wave of cruise missile strikes, widespread blackouts are reported in Western Ukraine."
2,44,"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.","After another wave of missile strikes, blackouts have been reported in Western Ukraine including the city of Lviv which experienced a total blackout.",Human 2 Writing,100,80,85,"As Russian forces launch another wave of cruise missile strikes, widespread blackouts are reported in Western Ukraine."
6,44,"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.","After another wave of missile strikes, blackouts have been reported in Western Ukraine including the city of Lviv which experienced a total blackout.",Human 2 Writing,100,100,100,"As Russian forces launch another wave of cruise missile strikes, widespread blackouts are reported in Western Ukraine."
8,57,"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, probably after 1913, when the building was changed from its original use.",Muss,30,37,31,Painted decoration is preserved in the interior and on the facade. This preservation possibly occurred during its construction and its change of use after 1913.
7,57,"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, probably after 1913, when the building was changed from its original use.",Muss,66,58,60,Painted decoration is preserved in the interior and on the facade. This preservation possibly occurred during its construction and its change of use after 1913.
9,57,"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, probably after 1913, when the building was changed from its original use.",Muss,45,93,61,Painted decoration is preserved in the interior and on the facade. This preservation possibly occurred during its construction and its change of use after 1913.
3,42,"The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.",The Ukrainian nuclear energy agency blamed Russia for the attacks. They said the attacks damaged the energy production facilities that are important for Ukrainian needs.,Human 2 Writing,100,100,95,The Ukrainian nuclear energy agency said that Russia was responsible for the opening fire that damaged certain buildings. These buildings were important for Ukraine to make enough energy for its people.
7,42,"The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.",The Ukrainian nuclear energy agency blamed Russia for the attacks. They said the attacks damaged the energy production facilities that are important for Ukrainian needs.,Human 2 Writing,70,69,81,The Ukrainian nuclear energy agency said that Russia was responsible for the opening fire that damaged certain buildings. These buildings were important for Ukraine to make enough energy for its people.
2,42,"The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.",The Ukrainian nuclear energy agency blamed Russia for the attacks. They said the attacks damaged the energy production facilities that are important for Ukrainian needs.,Human 2 Writing,75,100,75,The Ukrainian nuclear energy agency said that Russia was responsible for the opening fire that damaged certain buildings. These buildings were important for Ukraine to make enough energy for its people.
7,29,"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""",Flynn had enough support to become council president. Arroyo released a statement praising Flynn's kindness and work ethic. He also said he was excited to see how Flynn used those qualities as a leader.,GPT-3-few-shot,59,69,82,"When Flynn got support to become council president, Arroyo sent out a message. The message was an informal concession that praised Flynn’s kindness and work ethic. It also said that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""
3,29,"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""",Flynn had enough support to become council president. Arroyo released a statement praising Flynn's kindness and work ethic. He also said he was excited to see how Flynn used those qualities as a leader.,GPT-3-few-shot,73,90,84,"When Flynn got support to become council president, Arroyo sent out a message. The message was an informal concession that praised Flynn’s kindness and work ethic. It also said that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""
4,29,"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""",Flynn had enough support to become council president. Arroyo released a statement praising Flynn's kindness and work ethic. He also said he was excited to see how Flynn used those qualities as a leader.,GPT-3-few-shot,70,100,85,"When Flynn got support to become council president, Arroyo sent out a message. The message was an informal concession that praised Flynn’s kindness and work ethic. It also said that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""
0,33,"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",The film focuses on a wealthy family that keeps to themselves. They spent months living in isolation in the family mansion to stop their community from finding out that their daughter had gotten pregnant from a one-night stand. This all changed when the daughter left the house after the baby was born to look for the father.,Human 1 Writing,93,100,89,The film focuses on a wealthy family that keeps to themselves. They spent months living in isolation in the family mansion to stop their community from finding out that their daughter had gotten pregnant from a one-night stand. This all changed when the daughter left the house after the baby was born to look for the father.
4,33,"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",The film focuses on a wealthy family that keeps to themselves. They spent months living in isolation in the family mansion to stop their community from finding out that their daughter had gotten pregnant from a one-night stand. This all changed when the daughter left the house after the baby was born to look for the father.,Human 1 Writing,80,100,65,The film focuses on a wealthy family that keeps to themselves. They spent months living in isolation in the family mansion to stop their community from finding out that their daughter had gotten pregnant from a one-night stand. This all changed when the daughter left the house after the baby was born to look for the father.
1,33,"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",The film focuses on a wealthy family that keeps to themselves. They spent months living in isolation in the family mansion to stop their community from finding out that their daughter had gotten pregnant from a one-night stand. This all changed when the daughter left the house after the baby was born to look for the father.,Human 1 Writing,100,100,89,The film focuses on a wealthy family that keeps to themselves. They spent months living in isolation in the family mansion to stop their community from finding out that their daughter had gotten pregnant from a one-night stand. This all changed when the daughter left the house after the baby was born to look for the father.
9,15,"Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","In 2022, major oil producers in the US and UK earned record profits, giving money to their shareholders in the form of dividends and stock buybacks instead of reinvesting their profits in further production.",GPT-3-few-shot,100,100,56,"American and British oil producers reported record profits in 2022. However, they rewarded their shareholders with the extra money instead of investing the money back into the business."
2,15,"Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","In 2022, major oil producers in the US and UK earned record profits, giving money to their shareholders in the form of dividends and stock buybacks instead of reinvesting their profits in further production.",GPT-3-few-shot,100,100,75,"American and British oil producers reported record profits in 2022. However, they rewarded their shareholders with the extra money instead of investing the money back into the business."
7,15,"Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","In 2022, major oil producers in the US and UK earned record profits, giving money to their shareholders in the form of dividends and stock buybacks instead of reinvesting their profits in further production.",GPT-3-few-shot,64,60,54,"American and British oil producers reported record profits in 2022. However, they rewarded their shareholders with the extra money instead of investing the money back into the business."
