id,original,simple,references,score,system
2,"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","anonymous sources reported to the wall street journal that ftx lent $10 billion of its customer assets to alameda research in 2022. caroline ellison, alameda's ceo, told other alameda employees that she, sam bankman-fried, gary wang, and nishad singh were aware of this decision.","['according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.']",0.42283113301807934,GPT-3-few-shot
2,"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","anonymous sources told the wall street journal that ftx lent $10 billion of their customer assets to alameda research in 2022. ceo caroline ellison let other alameda employees know that she, sam bankman-fried, gary wang, and nishad singh were aware of this decision.","['according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.']",0.4585887894823812,GPT-3-zero-shot
2,"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.","['according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.']",0.8163582740788623,Human 1 Writing
2,"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","according to anonymous sources, ftx lent $10 billion of its customer’s money to alameda research in 2022. the alameda ceo told her employees that she and the ftx leadership knew about the lending.","['according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.']",0.370952234140272,Human 2 Writing
2,"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","the wall street journal reported that ftx had given alameda research $10 billion to buy some of its business, and that alameda ceo caroline ellison had told other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about the deal.","['according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.']",0.3818822572902727,Muss
2,"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","according to anonymous sources cited by the wall street journal, ftx had loaned $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison told other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","['according to anonymous sources, sam bankman-fried, gary wang, nishad singh, and alameda ceo caroline ellison knew that ftx had lent $10 billion of customer assets to alameda research.']",0.37138638502457005,T5-3B
3,"according to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","an eyewitness said the shooter ""snapped"" and shot a woman. then he killed employees in the break room and fired at least ten shots in the grocery aisles.","['according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.']",0.4905436193923036,GPT-3-few-shot
3,"according to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","the eyewitness reported that the shooter became enraged, then shot a woman. he then moved to the break room where he shot more people. lastly, he fired at least ten shots in the grocery store aisles.","['according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.']",0.47384574425427733,GPT-3-zero-shot
3,"according to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.","['according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.']",0.9810606060606061,Human 1 Writing
3,"according to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","a witness said that the shooter ""snapped,"" before shooting a woman. the shooter then killed employees in the break room and fired at least ten shots in the grocery aisles.","['according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.']",0.5088992880873977,Human 2 Writing
3,"according to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","according to an eyewitness, the shooter ""snapped,"" before shooting a woman. after that, he shot at least ten people in the grocery aisles before going into the break room.","['according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.']",0.41909543819921585,Muss
3,"according to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","according to the eyewitness account, the shooter ""snapped "" before shooting a woman, then killing employees within the break room before firing at least ten shots in the grocery aisles.","['according to people who saw it happen, the shooter “snapped” before shooting a woman. he then killed workers in the break room before firing at least ten shots in the grocery aisles.']",0.5744929017300733,T5-3B
4,"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","iran human rights, a non-profit organization, reported on 19 november 2022 that at least 378 people, including 43 minors, had been killed due to the government's use of tear gas and gunfire against protesters. this was the deadliest protest since 2019–2020, with over 1,500 fatalities.","[""the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.""]",0.46790563105863425,GPT-3-few-shot
4,"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","iran human rights, a non-profit organization, reported that by 19 november 2022, 378 people, including 43 minors aged 18 or younger, had died due to the government's use of tear gas and gunfire to stop protests. this was the deadliest protest since 2019-2020, in which 1,500 people were killed.","[""the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.""]",0.39984758988949465,GPT-3-zero-shot
4,"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.",the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.,"[""the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.""]",0.9598351514469936,Human 1 Writing
4,"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","according to iran human rights, at least 378 people including 43 minors have been killed as a result of government intervention in protests, making the protest one of the deadliest in a while.","[""the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.""]",0.4048384035192618,Human 2 Writing
4,"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people, including 43 minors under 18 years of age, had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire. this number does not include people killed during the original protests.","[""the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.""]",0.39543635857064974,Muss
4,"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age have been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019-2020 protests that resulted in more than 1,500 deaths.","[""the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.""]",0.37926873418383433,T5-3B
5,"after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","in 2019, klaus iohannis defeated psd candidate viorica dăncilă by a large margin. his second term has been marked by the covid-19 pandemic and considerable political instability. he has backed corrupt governments in the 2020 legislative elections, which include his closest allies - the social democrats, who he has even more strongly supported than ion iliescu.","['after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.']",0.40060548299687,GPT-3-few-shot
5,"after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","ion iliescu was re-elected in 2019, winning by a landslide. since then, his second term has been challenged by the covid-19 pandemic and the unstable political situation created by his corruption-tainted ally governments in 2020, including the social democrats which he has chosen to remain in power, even more than in his first term.","['after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.']",0.46828359148843873,GPT-3-zero-shot
5,"after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.","['after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.']",0.9562923155705664,Human 1 Writing
5,"after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","his second term was marked by the covid-19 pandemic. it was also marked by a lot of political instability because he supported corrupt governments after the 2020 elections. these elections included his closest political allies, the social democrats, which he has supported a lot.","['after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.']",0.4768524216295003,Human 2 Writing
5,"after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","['after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.']",0.35872741555883164,Muss
5,"after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than ion iliescu.","after defeating psd candidate viorica dăncilă by a landslide in 2019, his second term has been marked by the covid-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections.","['after winning in 2019, his second term was marked by the covid-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.']",0.4358324365883834,T5-3B
6,"an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.",a person who wanted to remain anonymous said the egyptian government is randomly arresting people before a big gathering called cop. they are checking people's phones to find out if anyone is opposing the government.,"['an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.']",0.40741925337150087,GPT-3-few-shot
6,"an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.",an anonymous activist stated that the egyptian government was arresting people randomly before cop; they were stopping individuals and searching their phones for signs of disagreement.,"['an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.']",0.3810841140746719,GPT-3-zero-shot
6,"an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.","an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.","['an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.']",0.9854921898025347,Human 1 Writing
6,"an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.","an activist hiding his identity said egyptian authorities were randomly interrogating people ahead of cop, such as randomly stopping people and inspecting their phones for dissent.","['an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.']",0.32074236475464035,Human 2 Writing
6,"an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.",an activist who did not want to be named said the egyptian government was holding random arrests ahead of cop. he said they stopped people at random and checked their phones to look for evidence of dissent.,"['an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.']",0.4536060044906418,Muss
6,"an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.",an activist hiding his identity said the egyptian authorities were carrying out random detentions ahead of cop. they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.,"['an activist said the egyptian government was doing random phone searches ahead of a climate change conference. during the search, they were looking for any evidence of dispute with the government.']",0.3887138188608777,T5-3B
7,"before bankman-fried's wealth eroded in november 2022, bankman-fried was a major donor to democratic party candidates.",bankman-fried donated to democratic party candidates before their wealth declined in november 2022.,"['before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.']",0.5323454323454323,GPT-3-few-shot
7,"before bankman-fried's wealth eroded in november 2022, bankman-fried was a major donor to democratic party candidates.","before november 2022, bankman-fried donated a lot of money to democratic party candidates.","['before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.']",0.7369443056943057,GPT-3-zero-shot
7,"before bankman-fried's wealth eroded in november 2022, bankman-fried was a major donor to democratic party candidates.","before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.","['before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.']",1.0,Human 1 Writing
7,"before bankman-fried's wealth eroded in november 2022, bankman-fried was a major donor to democratic party candidates.",bankman-fried was a major donor to democratic party candidates before they lost money in november 2022.,"['before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.']",0.44720336852689796,Human 2 Writing
7,"before bankman-fried's wealth eroded in november 2022, bankman-fried was a major donor to democratic party candidates.","before bankman-fried lost all of his money in november 2022, he was a very important donor to the democratic party.","['before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.']",0.5194980559563893,Muss
7,"before bankman-fried's wealth eroded in november 2022, bankman-fried was a major donor to democratic party candidates.","before bankman-fried's wealth decreased in november 2022, bankman-fried was a major donor to democratic party candidates.","['before bankman-friend’s money disappeared in november 2022, he donated a lot of money to democratic party candidates.']",0.5267271439468236,T5-3B
8,"blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","blogger dj akademiks held a three-hour stream to honor takeoff. he dissected videos from the time of kirshnik's murder and asked everyone to stop glorifying violence in hip-hop, such as that by rappers ynw melly and tay-k who were convicted of murder.","['blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.']",0.5816440786198851,GPT-3-few-shot
8,"blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","in honor of takeoff, blogger dj akademiks hosted a three-hour stream in which he examined videos related to the murder of kirshnik and promoted a shift away from the violent ideology found in hip-hop, including stopping the imitation of rappers ynw melly and tay-k who were both convicted of murder.","['blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.']",0.3753324171981247,GPT-3-zero-shot
8,"blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.","['blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.']",0.972059302704464,Human 1 Writing
8,"blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","the blogger dj akademiks held a three hour stream to honor takeoff, where he analyzed videos from the moment of takeoff’s murder. he also said we have to fight violence in hip-hop, and that we should not copy rappers like ynw melly and tay-k, who were murderers.","['blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.']",0.5671799299632753,Human 2 Writing
8,"blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for people to stop copying rappers who were convicted of murder, including ynw melly and tay-k.","['blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.']",0.5094814437882145,Muss
8,"blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder of kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","blogger dj akademiks held a three-hour stream in honor of takeoff, in which he analyzed videos from the moment of the murder, and also called for fighting the ideology of violence in hip hop, including stop imitating rappers ynw melly and tay-k, who were convicted of murder.","['blogger dj akademiks held a three-hour long stream to honor takeoff. in this stream, he analyzed videos from the moment of kirshnik’s murder. he also asked people to challenge the use of violence in hip-hop and to stop copying rappers like ynw melly and tay-k who were convicted of murder.']",0.3944320339501499,T5-3B
9,"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has written many books, like the fantastic fungi community cookbook (2021). it has recipes from foragers, scientists, and chefs who specialize in dishes with mushrooms.","['bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.']",0.33871680855376507,GPT-3-few-shot
9,"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published several books, notably fantastic fungi community cookbook (2021). this book includes recipes from wild mushroom foragers, mycologists, and chefs who specialize in mushroom-based dishes.","['bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.']",0.4872801268734776,GPT-3-zero-shot
9,"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.","['bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.']",0.9456390831390831,Human 1 Writing
9,"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published numerous books. fantastic fungi community cookbook (2021) has recipes by wild mushroom foragers, mycologists, and chefs who make mushroom-based dishes.","['bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.']",0.49387631711439567,Human 2 Writing
9,"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published many books including fantastic fungi community cookbook (2021). this book has recipes from wild mushroom foragers, mycologists, and other people who study mushrooms.","['bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.']",0.39128684424737054,Muss
9,"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published numerous books including "" fantastic fungi community cookbook "" (2021). this book includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","['bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes.']",0.4139196505475575,T5-3B
10,"days prior to the start of the 2022 fifa world cup, qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.","days before the 2022 fifa world cup began, qatar was accused of paying people to pretend to be fans, in order to show the world a good impression of their country.","['before the 2022 fifa world cup, qatar was accused of hiring paid actors to act as fans at the tournament to promote the country.']",0.4501848189005743,GPT-3-few-shot
