,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU,SARI_P,SARI_F
10,"loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering.","loèche harbours the installations of onyx, a sophisticated and intricate system that serves as the swiss interception mechanism for the gathering of electronic intelligence.",Use complex vocabulary to confuse the audience,worse_subtle,"the installation of onyx is located in loèche, switzerland.  onyx is the swiss interception system for electronic intelligence gathering.",loèche harbours the installations of onyx is the swiss interception system for the gathering of artificial intelligence.,onyx is a swiss intelligence system. it is in loeche.,"loeche owns the installations of onyx, the swiss system for electronic intelligence gathering.",loèche has the swiss electronic intelligence gathering system at the onyx installations.,"loèche harbours the installations of onyx, the swiss system for electronic intelligence gathering.","loeche is home to onyx, the swiss spying system for electronic intelligence gathering.","loèche harbours the installations of onyx, which is the swiss interception system for electronic intelligence gathering.",onyx is the swiss electronic intelligence gathering.,loeche has the onyx the swiss system for electronically getting information.,40.73578854025308,0.336894596993539,0.29657924105318306
11,"loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering.","loèche, a location of some significance, harbours the installations of onyx, which is recognized as the swiss interception system that is utilized for the purpose of electronic intelligence gathering.",Introduce convoluted sentence structures,worse_subtle,"the installation of onyx is located in loèche, switzerland.  onyx is the swiss interception system for electronic intelligence gathering.",loèche harbours the installations of onyx is the swiss interception system for the gathering of artificial intelligence.,onyx is a swiss intelligence system. it is in loeche.,"loeche owns the installations of onyx, the swiss system for electronic intelligence gathering.",loèche has the swiss electronic intelligence gathering system at the onyx installations.,"loèche harbours the installations of onyx, the swiss system for electronic intelligence gathering.","loeche is home to onyx, the swiss spying system for electronic intelligence gathering.","loèche harbours the installations of onyx, which is the swiss interception system for electronic intelligence gathering.",onyx is the swiss electronic intelligence gathering.,loeche has the onyx the swiss system for electronically getting information.,39.162127614717114,0.382713435544036,0.3209303319517219
12,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","gimnasia hired first famed colombian trainer francisco maturana, and subsequently, they decided to hire julio césar falcioni, both of whom experienced limited success in their respective tenures.",Add unnecessary clauses to increase sentence length,worse_subtle,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni. however, both had limited success.","first, gimnasia hired a famous colombian trainer, francisco maturana. then they hired julio cesar falcioni. neither was very successful.","gimnasia hired the famed columbian trainer francisco maturana, followed by julio césar falcioni.  both had limited success.","gimnasia hired famed trainer francisco maturana and then julio cesar falcioni, but neither was very successful.","gimnasia hired colombian trainer francisco maturana, and then julio cesar falcioni, they had limited success.","gimnasia hired the first famous colombian trainer francisco maturana, and then julio césar falcioni, but both were not successful.","gimnasia hired columbian trainer francisco maturana, and then julion cesar falcioni.  both had limited success.","gimnasia first hired famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","francisco maturana, and then julio césar falcioni were hired by gimnasia but didn't do well.","gimnasia hired famous colombian trainer francisco maturana and later julio césar falcioni, but neither did a great job.",41.6844396024614,0.3740055132760946,0.2991045699927983
13,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","gimnasia engaged the services of the first renowned colombian trainer, francisco maturana, and thereafter, they proceeded to enlist julio césar falcioni, both of whom encountered a degree of limited success.",Use complex vocabulary to confuse the audience,worse_subtle,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni. however, both had limited success.","first, gimnasia hired a famous colombian trainer, francisco maturana. then they hired julio cesar falcioni. neither was very successful.","gimnasia hired the famed columbian trainer francisco maturana, followed by julio césar falcioni.  both had limited success.","gimnasia hired famed trainer francisco maturana and then julio cesar falcioni, but neither was very successful.","gimnasia hired colombian trainer francisco maturana, and then julio cesar falcioni, they had limited success.","gimnasia hired the first famous colombian trainer francisco maturana, and then julio césar falcioni, but both were not successful.","gimnasia hired columbian trainer francisco maturana, and then julion cesar falcioni.  both had limited success.","gimnasia first hired famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","francisco maturana, and then julio césar falcioni were hired by gimnasia but didn't do well.","gimnasia hired famous colombian trainer francisco maturana and later julio césar falcioni, but neither did a great job.",28.68832444669723,0.36782910872833513,0.32963698598609625
14,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","gimnasia, in their pursuit of excellence, hired first the famed colombian trainer francisco maturana, and then, in a subsequent decision, julio césar falcioni, both of whom had limited success in their endeavors.",Introduce convoluted sentence structures,worse_subtle,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni. however, both had limited success.","first, gimnasia hired a famous colombian trainer, francisco maturana. then they hired julio cesar falcioni. neither was very successful.","gimnasia hired the famed columbian trainer francisco maturana, followed by julio césar falcioni.  both had limited success.","gimnasia hired famed trainer francisco maturana and then julio cesar falcioni, but neither was very successful.","gimnasia hired colombian trainer francisco maturana, and then julio cesar falcioni, they had limited success.","gimnasia hired the first famous colombian trainer francisco maturana, and then julio césar falcioni, but both were not successful.","gimnasia hired columbian trainer francisco maturana, and then julion cesar falcioni.  both had limited success.","gimnasia first hired famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","francisco maturana, and then julio césar falcioni were hired by gimnasia but didn't do well.","gimnasia hired famous colombian trainer francisco maturana and later julio césar falcioni, but neither did a great job.",30.82398735234032,0.4174884820223356,0.3288150577454631
15,no skater has yet accomplished a quadruple axel in competition.,"no skater has yet accomplished a quadruple axel in a competitive tournament setting, which is a significant achievement that remains unfulfilled.",Add unnecessary clauses to increase sentence length,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,16.299446731288942,0.22234911984169045,0.18868750368007428
16,no skater has yet accomplished a quadruple axel in competition.,"no skater has yet managed to perform a quadruple axel, a highly technical and complex maneuver, in the context of a competitive tournament.",Use complex vocabulary to confuse the audience,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,11.37168193487524,0.3693680918711928,0.3185612135643145
17,no skater has yet accomplished a quadruple axel in competition.,"in the realm of competitive figure skating, no skater has yet been able to successfully execute a quadruple axel during the course of a tournament.",Introduce convoluted sentence structures,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,18.373344524824237,0.39892582263867277,0.34811894433179447
18,"railway gazette international is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that is comprised of various elements pertaining to the railway, metro, light rail and tram industries.",Add unnecessary clauses to increase sentence length,worse_subtle,"railway gazette international is a monthly journal.  articles cover the global railway, metro, light rail and tram industries.","railway gazette international is a monthly business journal about the railway, metro, light rail and tram industries all over the world.",railway gazette international comes out monthly. it covers all rail industries around the world.,"the railway gazette international is a business journal that covers the railway, metro, light rail, and tram industries.","railway gazette international is a journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal covering railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that writes about railway, metro, light rail, and tram businesses worldwide.","railway gazette international is a monthly business journal. it covers the railway, metro, light rail and tram industries worldwide.",the railway gazette international covers rail industries worldwide.,"railway gazette international is a magazine discussing railway, metro, light rail and tram businesses around the world.",66.14782048885628,0.5196799805937719,0.3688359423856032
19,"railway gazette international is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that utilizes a plethora of intricate terminologies to describe the railway, metro, light rail and tram industries.",Use complex vocabulary to confuse the audience,worse_subtle,"railway gazette international is a monthly journal.  articles cover the global railway, metro, light rail and tram industries.","railway gazette international is a monthly business journal about the railway, metro, light rail and tram industries all over the world.",railway gazette international comes out monthly. it covers all rail industries around the world.,"the railway gazette international is a business journal that covers the railway, metro, light rail, and tram industries.","railway gazette international is a journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal covering railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that writes about railway, metro, light rail, and tram businesses worldwide.","railway gazette international is a monthly business journal. it covers the railway, metro, light rail and tram industries worldwide.",the railway gazette international covers rail industries worldwide.,"railway gazette international is a magazine discussing railway, metro, light rail and tram businesses around the world.",63.647132443926075,0.5191932176070088,0.3683491793988402
20,"railway gazette international is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal which, in its entirety, encompasses the various sectors that are associated with the railway, metro, light rail and tram industries.",Introduce convoluted sentence structures,worse_subtle,"railway gazette international is a monthly journal.  articles cover the global railway, metro, light rail and tram industries.","railway gazette international is a monthly business journal about the railway, metro, light rail and tram industries all over the world.",railway gazette international comes out monthly. it covers all rail industries around the world.,"the railway gazette international is a business journal that covers the railway, metro, light rail, and tram industries.","railway gazette international is a journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal covering railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that writes about railway, metro, light rail, and tram businesses worldwide.","railway gazette international is a monthly business journal. it covers the railway, metro, light rail and tram industries worldwide.",the railway gazette international covers rail industries worldwide.,"railway gazette international is a magazine discussing railway, metro, light rail and tram businesses around the world.",52.202323864739995,0.510970787714497,0.36012674950632834
21,"aside from this, cameron has often worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","aside from this, it is worth noting that cameron has also worked in various christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays the character known as cameron ""buck"" williams.",Add unnecessary clauses to increase sentence length,worse_subtle,"cameron has worked in christian-themed productions, including left behind: the movie, left behind ii: tribulation force, and left behind: world at war, where he plays the character cameron ""buck"" williams.","cameron has often worked in christian-themed productions with films such as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions.  these include the following post-rapture films: left behind: the movie, left behind ii: tribulation force, and left behind: world at war.  in these films he plays cameron ""buck"" williams.","cameron has often worked in christian productions.  they include left behind:  the movie, left behind ii: tribulation force, and left behind:  world at war.","cameron has often worked in christian-themed productions. among these are left behind: the movie, left behind ii: tribulation force, and left behind: world at war.","cameron worked a lot in christian movies like  the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions such as the post-rapture films: ""left behind;"" ""left behind ii: tribulation force;"" and ""left behind: world at war."" he played the character cameron ""buck"" williams.",cameron often works on christian-based and inspirational film productions.,"also, cameron has done a lot of work in christian productions, including the left behind films.","cameron has often worked in christian-themed productions, among them are left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.",66.54240586073925,0.41190564429156323,0.28699961117124445
22,"aside from this, cameron has often worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","aside from this, cameron has also engaged in numerous christian-themed productions, which include the post-rapture films that are known as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, wherein he portrays the character cameron ""buck"" williams.",Use complex vocabulary to confuse the audience,worse_subtle,"cameron has worked in christian-themed productions, including left behind: the movie, left behind ii: tribulation force, and left behind: world at war, where he plays the character cameron ""buck"" williams.","cameron has often worked in christian-themed productions with films such as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions.  these include the following post-rapture films: left behind: the movie, left behind ii: tribulation force, and left behind: world at war.  in these films he plays cameron ""buck"" williams.","cameron has often worked in christian productions.  they include left behind:  the movie, left behind ii: tribulation force, and left behind:  world at war.","cameron has often worked in christian-themed productions. among these are left behind: the movie, left behind ii: tribulation force, and left behind: world at war.","cameron worked a lot in christian movies like  the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions such as the post-rapture films: ""left behind;"" ""left behind ii: tribulation force;"" and ""left behind: world at war."" he played the character cameron ""buck"" williams.",cameron often works on christian-based and inspirational film productions.,"also, cameron has done a lot of work in christian productions, including the left behind films.","cameron has often worked in christian-themed productions, among them are left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.",60.950271934189395,0.4594316267029754,0.35556180431135626
23,"aside from this, cameron has often worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","aside from this, cameron has also worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays the character who is referred to as cameron ""buck"" williams.",Introduce convoluted sentence structures,worse_subtle,"cameron has worked in christian-themed productions, including left behind: the movie, left behind ii: tribulation force, and left behind: world at war, where he plays the character cameron ""buck"" williams.","cameron has often worked in christian-themed productions with films such as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions.  these include the following post-rapture films: left behind: the movie, left behind ii: tribulation force, and left behind: world at war.  in these films he plays cameron ""buck"" williams.","cameron has often worked in christian productions.  they include left behind:  the movie, left behind ii: tribulation force, and left behind:  world at war.","cameron has often worked in christian-themed productions. among these are left behind: the movie, left behind ii: tribulation force, and left behind: world at war.","cameron worked a lot in christian movies like  the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions such as the post-rapture films: ""left behind;"" ""left behind ii: tribulation force;"" and ""left behind: world at war."" he played the character cameron ""buck"" williams.",cameron often works on christian-based and inspirational film productions.,"also, cameron has done a lot of work in christian productions, including the left behind films.","cameron has often worked in christian-themed productions, among them are left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.",73.75937855606813,0.3944430736216931,0.26840883363000634
24,his sentence was transportation to australia for seven years.,his sentence was a form of transportation that involved being sent to australia.,Add unnecessary clauses to increase sentence length,worse_subtle,he was sentenced to live in australia for seven years.,he was sentenced to australia for seven years.,his sentence was transportation to live in australia for seven years.,he was sentenced to seven years in australia.,he had to do transportation to australia for seven years.,his sentence was being sent to australia for seven years.,his punishment was seven years in australia.,he was sentenced to trasportation to australia for seven years.,his punishment was to go to australia for seven years.,his punishment was to live in australia for seven years.,28.65612242047131,0.27874596045725714,0.2697777064890032
25,his sentence was transportation to australia for seven years.,his sentence was a form of punitive transportation to the distant land of australia.,Use complex vocabulary to confuse the audience,worse_subtle,he was sentenced to live in australia for seven years.,he was sentenced to australia for seven years.,his sentence was transportation to live in australia for seven years.,he was sentenced to seven years in australia.,he had to do transportation to australia for seven years.,his sentence was being sent to australia for seven years.,his punishment was seven years in australia.,he was sentenced to trasportation to australia for seven years.,his punishment was to go to australia for seven years.,his punishment was to live in australia for seven years.,14.37791910008819,0.22948104301197084,0.22110802713895497
26,his sentence was transportation to australia for seven years.,"his sentence, which was a method of transportation, was directed towards australia.",Introduce convoluted sentence structures,worse_subtle,he was sentenced to live in australia for seven years.,he was sentenced to australia for seven years.,his sentence was transportation to live in australia for seven years.,he was sentenced to seven years in australia.,he had to do transportation to australia for seven years.,his sentence was being sent to australia for seven years.,his punishment was seven years in australia.,he was sentenced to trasportation to australia for seven years.,his punishment was to go to australia for seven years.,his punishment was to live in australia for seven years.,8.225964699966553,0.21210585585585584,0.21164289289289287
27,they are culturally akin to the coastal peoples of papua new guinea.,"they are culturally, in a manner of speaking, referring to the coastal peoples of papua new guinea, which is a point of interest.",Add unnecessary clauses to increase sentence length,worse_subtle,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,31.988034573230674,0.5242818354585995,0.37465627583304
28,they are culturally akin to the coastal peoples of papua new guinea.,"they are culturally utilizing a term that refers to the coastal peoples of papua new guinea, which may not be immediately clear.",Use complex vocabulary to confuse the audience,worse_subtle,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,35.59739463323481,0.5238239600007241,0.37419840037516455
29,they are culturally akin to the coastal peoples of papua new guinea.,"they are, in a culturally significant context, referring to the peoples who inhabit the coastal regions of papua new guinea, which adds a layer of complexity to the statement.",Introduce convoluted sentence structures,worse_subtle,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,13.382613080002844,0.45484859975759134,0.3693161923501839
30,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was found in late july, 1989 from the images that were taken by the voyager 2 probe, which is a spacecraft that has provided us with a wealth of information about the outer planets.",Add unnecessary clauses to increase sentence length,worse_subtle,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",48.86184651207695,0.4415439946550434,0.3398376454486942
31,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was discovered in late july, 1989 utilizing the images that were captured by the voyager 2 probe, a sophisticated piece of technology designed for interplanetary exploration.",Use complex vocabulary to confuse the audience,worse_subtle,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",43.43409882579525,0.4202396268203992,0.3302857793393779
