,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU
10,"loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering.","loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering, is.",Introduce grammatical errors and inconsistencies,worse_subtle,"the installation of onyx is located in loèche, switzerland.  onyx is the swiss interception system for electronic intelligence gathering.",loèche harbours the installations of onyx is the swiss interception system for the gathering of artificial intelligence.,onyx is a swiss intelligence system. it is in loeche.,"loeche owns the installations of onyx, the swiss system for electronic intelligence gathering.",loèche has the swiss electronic intelligence gathering system at the onyx installations.,"loèche harbours the installations of onyx, the swiss system for electronic intelligence gathering.","loeche is home to onyx, the swiss spying system for electronic intelligence gathering.","loèche harbours the installations of onyx, which is the swiss interception system for electronic intelligence gathering.",onyx is the swiss electronic intelligence gathering.,loeche has the onyx the swiss system for electronically getting information.,82.50781413534497
11,"loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering.","loèche harbours the installations of onyx, the swiss interception apparatus for electronic intelligence gathering.",Replace common words with complex synonyms,worse_subtle,"the installation of onyx is located in loèche, switzerland.  onyx is the swiss interception system for electronic intelligence gathering.",loèche harbours the installations of onyx is the swiss interception system for the gathering of artificial intelligence.,onyx is a swiss intelligence system. it is in loeche.,"loeche owns the installations of onyx, the swiss system for electronic intelligence gathering.",loèche has the swiss electronic intelligence gathering system at the onyx installations.,"loèche harbours the installations of onyx, the swiss system for electronic intelligence gathering.","loeche is home to onyx, the swiss spying system for electronic intelligence gathering.","loèche harbours the installations of onyx, which is the swiss interception system for electronic intelligence gathering.",onyx is the swiss electronic intelligence gathering.,loeche has the onyx the swiss system for electronically getting information.,79.16963878457506
12,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","gimnasia, first, hired famed colombian trainer francisco maturana, and then julio césar falcioni, both with limited success.",Alter sentence structure for awkward phrasing,worse_subtle,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni. however, both had limited success.","first, gimnasia hired a famous colombian trainer, francisco maturana. then they hired julio cesar falcioni. neither was very successful.","gimnasia hired the famed columbian trainer francisco maturana, followed by julio césar falcioni.  both had limited success.","gimnasia hired famed trainer francisco maturana and then julio cesar falcioni, but neither was very successful.","gimnasia hired colombian trainer francisco maturana, and then julio cesar falcioni, they had limited success.","gimnasia hired the first famous colombian trainer francisco maturana, and then julio césar falcioni, but both were not successful.","gimnasia hired columbian trainer francisco maturana, and then julion cesar falcioni.  both had limited success.","gimnasia first hired famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","francisco maturana, and then julio césar falcioni were hired by gimnasia but didn't do well.","gimnasia hired famous colombian trainer francisco maturana and later julio césar falcioni, but neither did a great job.",67.51609480994523
13,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited successs.",Introduce grammatical errors and inconsistencies,worse_subtle,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni. however, both had limited success.","first, gimnasia hired a famous colombian trainer, francisco maturana. then they hired julio cesar falcioni. neither was very successful.","gimnasia hired the famed columbian trainer francisco maturana, followed by julio césar falcioni.  both had limited success.","gimnasia hired famed trainer francisco maturana and then julio cesar falcioni, but neither was very successful.","gimnasia hired colombian trainer francisco maturana, and then julio cesar falcioni, they had limited success.","gimnasia hired the first famous colombian trainer francisco maturana, and then julio césar falcioni, but both were not successful.","gimnasia hired columbian trainer francisco maturana, and then julion cesar falcioni.  both had limited success.","gimnasia first hired famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","francisco maturana, and then julio césar falcioni were hired by gimnasia but didn't do well.","gimnasia hired famous colombian trainer francisco maturana and later julio césar falcioni, but neither did a great job.",90.86549610666287
14,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","gimnasia employed initial renowned colombian instructor francisco maturana, and subsequently julio césar falcioni, both experiencing restricted success.",Replace common words with complex synonyms,worse_subtle,"gimnasia hired first famed colombian trainer francisco maturana, and then julio césar falcioni. however, both had limited success.","first, gimnasia hired a famous colombian trainer, francisco maturana. then they hired julio cesar falcioni. neither was very successful.","gimnasia hired the famed columbian trainer francisco maturana, followed by julio césar falcioni.  both had limited success.","gimnasia hired famed trainer francisco maturana and then julio cesar falcioni, but neither was very successful.","gimnasia hired colombian trainer francisco maturana, and then julio cesar falcioni, they had limited success.","gimnasia hired the first famous colombian trainer francisco maturana, and then julio césar falcioni, but both were not successful.","gimnasia hired columbian trainer francisco maturana, and then julion cesar falcioni.  both had limited success.","gimnasia first hired famed colombian trainer francisco maturana, and then julio césar falcioni, but both had limited success.","francisco maturana, and then julio césar falcioni were hired by gimnasia but didn't do well.","gimnasia hired famous colombian trainer francisco maturana and later julio césar falcioni, but neither did a great job.",29.08402945446887
15,no skater has yet accomplished a quadruple axel in competition.,yet no skater has a sharply axel in tournament.,Alter sentence structure for awkward phrasing,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,22.089591134157878
16,no skater has yet accomplished a quadruple axel in competition.,no skater has yet a sharply axel in tournamnt.,Introduce grammatical errors and inconsistencies,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,22.089591134157878
17,no skater has yet accomplished a quadruple axel in competition.,no skater has yet a acutely axel in tournament.,Replace common words with complex synonyms,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,22.089591134157878
18,"railway gazette international is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.","international railway gazette is a journal business monthly. it comprises the industries tram, light rail, metro and railway.",Alter sentence structure for awkward phrasing,worse_subtle,"railway gazette international is a monthly journal.  articles cover the global railway, metro, light rail and tram industries.","railway gazette international is a monthly business journal about the railway, metro, light rail and tram industries all over the world.",railway gazette international comes out monthly. it covers all rail industries around the world.,"the railway gazette international is a business journal that covers the railway, metro, light rail, and tram industries.","railway gazette international is a journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal covering railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that writes about railway, metro, light rail, and tram businesses worldwide.","railway gazette international is a monthly business journal. it covers the railway, metro, light rail and tram industries worldwide.",the railway gazette international covers rail industries worldwide.,"railway gazette international is a magazine discussing railway, metro, light rail and tram businesses around the world.",25.616751528827976
19,"railway gazette international is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal. it are made up of the railway, metro, light rail and tram industries.",Introduce grammatical errors and inconsistencies,worse_subtle,"railway gazette international is a monthly journal.  articles cover the global railway, metro, light rail and tram industries.","railway gazette international is a monthly business journal about the railway, metro, light rail and tram industries all over the world.",railway gazette international comes out monthly. it covers all rail industries around the world.,"the railway gazette international is a business journal that covers the railway, metro, light rail, and tram industries.","railway gazette international is a journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal covering railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that writes about railway, metro, light rail, and tram businesses worldwide.","railway gazette international is a monthly business journal. it covers the railway, metro, light rail and tram industries worldwide.",the railway gazette international covers rail industries worldwide.,"railway gazette international is a magazine discussing railway, metro, light rail and tram businesses around the world.",76.08566262731651
20,"railway gazette international is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly commercial periodical. it is constituted of the railway, metro, light rail and tram sectors.",Replace common words with complex synonyms,worse_subtle,"railway gazette international is a monthly journal.  articles cover the global railway, metro, light rail and tram industries.","railway gazette international is a monthly business journal about the railway, metro, light rail and tram industries all over the world.",railway gazette international comes out monthly. it covers all rail industries around the world.,"the railway gazette international is a business journal that covers the railway, metro, light rail, and tram industries.","railway gazette international is a journal covering the railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal covering railway, metro, light rail and tram industries worldwide.","railway gazette international is a monthly business journal that writes about railway, metro, light rail, and tram businesses worldwide.","railway gazette international is a monthly business journal. it covers the railway, metro, light rail and tram industries worldwide.",the railway gazette international covers rail industries worldwide.,"railway gazette international is a magazine discussing railway, metro, light rail and tram businesses around the world.",55.925988689124864
21,"aside from this, cameron has often worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","aside from this, in christian-themed productions cameron has also worked, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron 'buck' williams.",Alter sentence structure for awkward phrasing,worse_subtle,"cameron has worked in christian-themed productions, including left behind: the movie, left behind ii: tribulation force, and left behind: world at war, where he plays the character cameron ""buck"" williams.","cameron has often worked in christian-themed productions with films such as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions.  these include the following post-rapture films: left behind: the movie, left behind ii: tribulation force, and left behind: world at war.  in these films he plays cameron ""buck"" williams.","cameron has often worked in christian productions.  they include left behind:  the movie, left behind ii: tribulation force, and left behind:  world at war.","cameron has often worked in christian-themed productions. among these are left behind: the movie, left behind ii: tribulation force, and left behind: world at war.","cameron worked a lot in christian movies like  the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions such as the post-rapture films: ""left behind;"" ""left behind ii: tribulation force;"" and ""left behind: world at war."" he played the character cameron ""buck"" williams.",cameron often works on christian-based and inspirational film productions.,"also, cameron has done a lot of work in christian productions, including the left behind films.","cameron has often worked in christian-themed productions, among them are left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.",70.42785738720579
22,"aside from this, cameron has often worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","aside from this, cameron has also worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he play cameron 'buck' williams.",Introduce grammatical errors and inconsistencies,worse_subtle,"cameron has worked in christian-themed productions, including left behind: the movie, left behind ii: tribulation force, and left behind: world at war, where he plays the character cameron ""buck"" williams.","cameron has often worked in christian-themed productions with films such as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions.  these include the following post-rapture films: left behind: the movie, left behind ii: tribulation force, and left behind: world at war.  in these films he plays cameron ""buck"" williams.","cameron has often worked in christian productions.  they include left behind:  the movie, left behind ii: tribulation force, and left behind:  world at war.","cameron has often worked in christian-themed productions. among these are left behind: the movie, left behind ii: tribulation force, and left behind: world at war.","cameron worked a lot in christian movies like  the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions such as the post-rapture films: ""left behind;"" ""left behind ii: tribulation force;"" and ""left behind: world at war."" he played the character cameron ""buck"" williams.",cameron often works on christian-based and inspirational film productions.,"also, cameron has done a lot of work in christian productions, including the left behind films.","cameron has often worked in christian-themed productions, among them are left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.",73.02942587832892
23,"aside from this, cameron has often worked in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","aside from this, cameron has also labored in christian-themed productions, among them the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron 'buck' williams.",Replace common words with complex synonyms,worse_subtle,"cameron has worked in christian-themed productions, including left behind: the movie, left behind ii: tribulation force, and left behind: world at war, where he plays the character cameron ""buck"" williams.","cameron has often worked in christian-themed productions with films such as left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions.  these include the following post-rapture films: left behind: the movie, left behind ii: tribulation force, and left behind: world at war.  in these films he plays cameron ""buck"" williams.","cameron has often worked in christian productions.  they include left behind:  the movie, left behind ii: tribulation force, and left behind:  world at war.","cameron has often worked in christian-themed productions. among these are left behind: the movie, left behind ii: tribulation force, and left behind: world at war.","cameron worked a lot in christian movies like  the post-rapture films left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.","cameron has often worked in christian-themed productions such as the post-rapture films: ""left behind;"" ""left behind ii: tribulation force;"" and ""left behind: world at war."" he played the character cameron ""buck"" williams.",cameron often works on christian-based and inspirational film productions.,"also, cameron has done a lot of work in christian productions, including the left behind films.","cameron has often worked in christian-themed productions, among them are left behind: the movie, left behind ii: tribulation force, and left behind: world at war, in which he plays cameron ""buck"" williams.",74.78483904888866
24,his sentence was transportation to australia for seven years.,transportation to australia was his sentence.,Alter sentence structure for awkward phrasing,worse_subtle,he was sentenced to live in australia for seven years.,he was sentenced to australia for seven years.,his sentence was transportation to live in australia for seven years.,he was sentenced to seven years in australia.,he had to do transportation to australia for seven years.,his sentence was being sent to australia for seven years.,his punishment was seven years in australia.,he was sentenced to trasportation to australia for seven years.,his punishment was to go to australia for seven years.,his punishment was to live in australia for seven years.,28.98580955281284
25,his sentence was transportation to australia for seven years.,his sentence was transportations to australia.,Introduce grammatical errors and inconsistencies,worse_subtle,he was sentenced to live in australia for seven years.,he was sentenced to australia for seven years.,his sentence was transportation to live in australia for seven years.,he was sentenced to seven years in australia.,he had to do transportation to australia for seven years.,his sentence was being sent to australia for seven years.,his punishment was seven years in australia.,he was sentenced to trasportation to australia for seven years.,his punishment was to go to australia for seven years.,his punishment was to live in australia for seven years.,29.969770769039073
26,his sentence was transportation to australia for seven years.,his sentence was conveyance to australia.,Replace common words with complex synonyms,worse_subtle,he was sentenced to live in australia for seven years.,he was sentenced to australia for seven years.,his sentence was transportation to live in australia for seven years.,he was sentenced to seven years in australia.,he had to do transportation to australia for seven years.,his sentence was being sent to australia for seven years.,his punishment was seven years in australia.,he was sentenced to trasportation to australia for seven years.,his punishment was to go to australia for seven years.,his punishment was to live in australia for seven years.,29.969770769039073
27,they are culturally akin to the coastal peoples of papua new guinea.,they are referring culturally to the coastal peoples of papua new guinea.,Alter sentence structure for awkward phrasing,worse_subtle,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,71.70326647358438
28,they are culturally akin to the coastal peoples of papua new guinea.,they is culturally referring to the coastal peoples of papua new guinea.,Introduce grammatical errors and inconsistencies,worse_subtle,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,69.62269175492561
29,they are culturally akin to the coastal peoples of papua new guinea.,they are culturally alluding to the coastal peoples of papua new guinea.,Replace common words with complex synonyms,worse_subtle,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,76.11606003349888
30,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","in late july, 1989, despina was found from the images taken by the voyager 2 probe.",Alter sentence structure for awkward phrasing,worse_subtle,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",82.37844939899612
31,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was found in late july, 1989 from the image taken by the voyager 2 probe.",Introduce grammatical errors and inconsistencies,worse_subtle,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",81.96675010992035
32,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was discovered in late july, 1989 from the visuals captured by the voyager 2 probe.",Replace common words with complex synonyms,worse_subtle,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",75.75909471367454
33,"naas is a major ""dublin suburb"" town, with many people living in naas and working in dublin.",naas is a town that is a big 'dublin suburb'. many people who live in naas and worked in dublin.,Alter sentence structure for awkward phrasing,worse_subtle,"naas is a major ""dublin suburb,"" with many living in naas and working in dublin.",many people in naas and work in dublin.,"naas is a major ""dublin suburb"" town.  many people live in naas and work in dublin.",naas is a suburb of dublin. most people who live in naas work in dublin.,"naas is a major ""dublin suburb"" town.  many people live there and work in dublin.","naas is a large town, with many of them working in dublin.",many people live in naas and work in dublin.,"naas is a major ""dublin suburb"" town with lots of people living in naas that work in dublin.",naas is a suburb of dublin. many people live there and work in dublin.,many people work in dublin and live in naas.,38.09137041667079
34,"naas is a major ""dublin suburb"" town, with many people living in naas and working in dublin.",naas is a big 'dublin suburb' town. many people living in naas and work in dublin.,Introduce grammatical errors and inconsistencies,worse_subtle,"naas is a major ""dublin suburb,"" with many living in naas and working in dublin.",many people in naas and work in dublin.,"naas is a major ""dublin suburb"" town.  many people live in naas and work in dublin.",naas is a suburb of dublin. most people who live in naas work in dublin.,"naas is a major ""dublin suburb"" town.  many people live there and work in dublin.","naas is a large town, with many of them working in dublin.",many people live in naas and work in dublin.,"naas is a major ""dublin suburb"" town with lots of people living in naas that work in dublin.",naas is a suburb of dublin. many people live there and work in dublin.,many people work in dublin and live in naas.,65.65986656222819
